
//TODO:  Datos de libros en formato CSV


title,author,isbn,covers,available,category
Into the Wild,Jon Krakauer,9780385486804,https://covers.openlibrary.org/b/isbn/9780385486804-L.jpg,true,travel
On the Road,Jack Kerouac,9780140283297,https://covers.openlibrary.org/b/isbn/9780140283297-L.jpg,true,travel
Eat Pray Love,Elizabeth Gilbert,9780143038412,https://covers.openlibrary.org/b/isbn/9780143038412-L.jpg,true,travel
In Patagonia,Bruce Chatwin,9780140109580,https://covers.openlibrary.org/b/isbn/9780140109580-L.jpg,true,travel
A Walk in the Woods,Bill Bryson,9780307279460,https://covers.openlibrary.org/b/isbn/9780307279460-L.jpg,true,travel
The Joy of Cooking,Irma S. Rombauer,9780743246262,https://covers.openlibrary.org/b/isbn/9780743246262-L.jpg,true,cookbook
Mastering the Art of French Cooking,Julia Child,9780375413407,https://covers.openlibrary.org/b/isbn/9780375413407-L.jpg,true,cookbook
Salt Fat Acid Heat,Samin Nosrat,9781476753836,https://covers.openlibrary.org/b/isbn/9781476753836-L.jpg,true,cookbook
The Silver Spoon,Phaidon Press,9780714862453,https://covers.openlibrary.org/b/isbn/9780714862453-L.jpg,true,cookbook
How to Cook Everything,Mark Bittman,9780764578656,https://covers.openlibrary.org/b/isbn/9780764578656-L.jpg,true,cookbook
The Story of Art,E.H. Gombrich,9780714832470,https://covers.openlibrary.org/b/isbn/9780714832470-L.jpg,true,art
Ways of Seeing,John Berger,9780140135152,https://covers.openlibrary.org/b/isbn/9780140135152-L.jpg,true,art
The Lives of the Artists,Giorgio Vasari,9780199537198,https://covers.openlibrary.org/b/isbn/9780199537198-L.jpg,true,art
Color and Light,James Gurney,9780740797712,https://covers.openlibrary.org/b/isbn/9780740797712-L.jpg,true,art
The Art Spirit,Robert Henri,9780465002634,https://covers.openlibrary.org/b/isbn/9780465002634-L.jpg,true,art
Maus,Art Spiegelman,9780141014081,https://covers.openlibrary.org/b/isbn/9780141014081-L.jpg,true,comic
The Walking Dead Vol. 1,Robert Kirkman,9781582406190,https://covers.openlibrary.org/b/isbn/9781582406190-L.jpg,true,comic
Saga Vol. 1,Brian K. Vaughan,9781607066019,https://covers.openlibrary.org/b/isbn/9781607066019-L.jpg,true,comic
Batman: The Dark Knight Returns,Frank Miller,9781563893421,https://covers.openlibrary.org/b/isbn/9781563893421-L.jpg,true,comic
Calvin and Hobbes,Bill Watterson,9780836220889,https://covers.openlibrary.org/b/isbn/9780836220889-L.jpg,true,comic
Watchmen,Alan Moore,9781401238964,https://covers.openlibrary.org/b/isbn/9781401238964-L.jpg,true,graphic-novel
V for Vendetta,Alan Moore,9781401207922,https://covers.openlibrary.org/b/isbn/9781401207922-L.jpg,true,graphic-novel
Persepolis,Marjane Satrapi,9780375714573,https://covers.openlibrary.org/b/isbn/9780375714573-L.jpg,true,graphic-novel
Fun Home,Alison Bechdel,9780618871711,https://covers.openlibrary.org/b/isbn/9780618871711-L.jpg,true,graphic-novel
Sandman Vol. 1,Neil Gaiman,9781401225759,https://covers.openlibrary.org/b/isbn/9781401225759-L.jpg,true,graphic-novel
In Cold Blood,Truman Capote,9780679745587,https://covers.openlibrary.org/b/isbn/9780679745587-L.jpg,true,true-crime
The Devil in the White City,Erik Larson,9780375725609,https://covers.openlibrary.org/b/isbn/9780375725609-L.jpg,true,true-crime
Helter Skelter,Vincent Bugliosi,9780393322231,https://covers.openlibrary.org/b/isbn/9780393322231-L.jpg,true,true-crime
I'll Be Gone in the Dark,Michelle McNamara,9780062319784,https://covers.openlibrary.org/b/isbn/9780062319784-L.jpg,true,true-crime
Mindhunter,John Douglas,9781501190759,https://covers.openlibrary.org/b/isbn/9781501190759-L.jpg,true,true-crime
The Innovators,Walter Isaacson,9781476708690,https://covers.openlibrary.org/b/isbn/9781476708690-L.jpg,true,technology
The Soul of A New Machine,Tracy Kidder,9780316491976,https://covers.openlibrary.org/b/isbn/9780316491976-L.jpg,true,technology
The Code Book,Simon Singh,9780385495325,https://covers.openlibrary.org/b/isbn/9780385495325-L.jpg,true,technology
Clean Code,Robert C. Martin,9780132350884,https://covers.openlibrary.org/b/isbn/9780132350884-L.jpg,true,technology
The Phoenix Project,Gene Kim,9780988262508,https://covers.openlibrary.org/b/isbn/9780988262508-L.jpg,true,technology
